timestamp_utc,market_id,gross_demand_mw,wind_mw,solar_mw,net_load_mw,market_scale_mw,forecast_issue_time_utc,forecast_vintage_id,quality_ok,forecast_gross_h1_mw,forecast_gross_h3_mw,forecast_gross_h6_mw,forecast_gross_h12_mw,forecast_net_h1_mw,forecast_net_h3_mw,forecast_net_h6_mw,forecast_net_h12_mw
2025-02-17 19:00:00+00:00,SPP_NORTH_HUB,38445,15316,249,22880,46366.75,2025-02-17T19:00:00Z,causal-ridge-shortlag-v2,True,37933.90764215742,37426.88060023108,37780.562957523776,39181.7008898559,22659.051906187702,22460.330254466524,23173.825655607794,24131.47984451533
2025-02-17 20:00:00+00:00,CAISO_NP15,22777,3878,12335,6564,33983.0,2025-02-17T20:00:00Z,causal-ridge-shortlag-v2,True,22741.025204056223,23715.352032911775,25318.92133597746,20824.699000379147,7432.170622036425,11769.954935971396,18054.417567906115,17955.10694706187
2025-02-17 20:00:00+00:00,ISONE_NEMA,15839,908,227,14704,18007.25,2025-02-17T20:00:00Z,causal-ridge-shortlag-v2,True,16223.836286986689,16352.16686974328,15749.62662408724,13419.097172567846,15180.079190034769,15459.49748725806,15032.914014556602,12654.210583117023
2025-02-17 20:00:00+00:00,MISO_MINN_HUB,84461,15002,8626,60833,101249.75,2025-02-17T20:00:00Z,causal-ridge-shortlag-v2,True,84208.66889798091,86170.15236425566,88621.4728546018,84245.30896244406,61945.86093514132,67688.62325747786,73590.78772517806,69106.1297128739
2025-02-17 20:00:00+00:00,SPP_NORTH_HUB,37883,14440,248,23195,46366.75,2025-02-17T20:00:00Z,causal-ridge-shortlag-v2,True,37545.90572461547,37438.31140647811,38200.12424763802,39879.75524300554,23287.38618378366,23363.90889220079,24097.270633532673,25097.181049458708
2025-02-17 21:00:00+00:00,CAISO_NP15,22635,4188,12384,6063,33983.0,2025-02-17T21:00:00Z,causal-ridge-shortlag-v2,True,22808.790941927822,24322.511332352962,26026.24525615334,20495.800114649355,7123.2499876182665,13052.447602084796,19574.187201541543,17721.252908795297
2025-02-17 21:00:00+00:00,ISONE_NEMA,16679,926,77,15676,18007.25,2025-02-17T21:00:00Z,causal-ridge-shortlag-v2,True,17175.67787974145,17016.389905971864,15456.686942122995,13780.252331208485,16273.361587333606,16239.175861685206,14765.47302595151,13004.523704768555
2025-02-17 21:00:00+00:00,MISO_MINN_HUB,84306,15082,7016,62208,101249.75,2025-02-17T21:00:00Z,causal-ridge-shortlag-v2,True,84907.10422644705,87372.28151965543,88951.0136160581,84724.99125322077,64690.03389869627,70631.7854677194,74245.26364397268,69875.08981795651
2025-02-17 21:00:00+00:00,SPP_NORTH_HUB,37811,14429,248,23134,46366.75,2025-02-17T21:00:00Z,causal-ridge-shortlag-v2,True,37896.437970500534,38341.50822506465,39245.25774382761,40325.563925249706,23037.58962865772,23125.24099600707,23767.12033160751,24530.150775344333
2025-02-17 22:00:00+00:00,CAISO_NP15,21619,3898,12252,5469,33983.0,2025-02-17T22:00:00Z,causal-ridge-shortlag-v2,True,22038.34263576079,23829.268506090408,25161.08752019629,19863.229542159148,7517.202927736391,13926.58526714149,20723.255815434433,17224.3210865038
2025-02-17 22:00:00+00:00,ISONE_NEMA,17848,907,8,16933,18007.25,2025-02-17T22:00:00Z,causal-ridge-shortlag-v2,True,18445.49216733632,17885.914697664084,15446.842917293718,14383.583271713434,17618.42731922167,17150.2615852589,14740.781068552107,13616.218533802452
2025-02-17 22:00:00+00:00,MISO_MINN_HUB,85202,14883,4034,66285,101249.75,2025-02-17T22:00:00Z,causal-ridge-shortlag-v2,True,86636.550015419,88683.03354283911,86925.15919330643,84062.68293577973,70090.33580685835,73865.08959423787,72077.22534143641,69624.17128267798
2025-02-17 22:00:00+00:00,SPP_NORTH_HUB,38095,14822,247,23026,46366.75,2025-02-17T22:00:00Z,causal-ridge-shortlag-v2,True,38481.75459367113,39206.15755038243,39831.081755569605,40171.766128167634,23050.549912329734,23295.033833197544,23572.589910716935,23988.517455706522
2025-02-17 23:00:00+00:00,CAISO_NP15,21739,3822,11539,6378,33983.0,2025-02-17T23:00:00Z,causal-ridge-shortlag-v2,True,22379.537454062956,24028.43895020978,24878.593410557954,19978.79462930146,9247.244047202728,16004.287345287834,21341.338699281678,16919.53005751538
2025-02-17 23:00:00+00:00,ISONE_NEMA,18145,909,5,17231,18007.25,2025-02-17T23:00:00Z,causal-ridge-shortlag-v2,True,17790.711742975855,16701.554031679778,14913.192027854706,14976.484132274709,16893.11839950114,15858.167825329487,14129.447743337638,14158.652315814146
2025-02-17 23:00:00+00:00,MISO_MINN_HUB,88045,13679,583,73783,101249.75,2025-02-17T23:00:00Z,causal-ridge-shortlag-v2,True,90811.78863593144,92411.430826281,87001.30943443962,84275.22114444661,79141.83820955391,80852.2779718493,73215.1234992896,71549.04505898118
2025-02-17 23:00:00+00:00,SPP_NORTH_HUB,38843,15788,246,22809,46366.75,2025-02-17T23:00:00Z,causal-ridge-shortlag-v2,True,39616.07775669019,40535.70056959469,40355.06662211049,39298.29573795072,22874.98657844936,23117.36866387279,22630.85870259034,22565.77644390409
2025-02-18 00:00:00+00:00,CAISO_NP15,21367,3976,9995,7396,33983.0,2025-02-18T00:00:00Z,causal-ridge-shortlag-v2,True,21871.122605709363,23772.02139243518,24841.545904731458,20232.403191039077,10458.225530497224,17520.50451650687,22039.54930010045,15924.919364048243
2025-02-18 00:00:00+00:00,ISONE_NEMA,17738,869,5,16864,18007.25,2025-02-18T00:00:00Z,causal-ridge-shortlag-v2,True,17181.90599739695,16115.222341384831,14447.226546198106,15284.377466532414,16337.108358006006,15332.949283103906,13676.529740736127,14420.620563296185
2025-02-18 00:00:00+00:00,MISO_MINN_HUB,90575,12588,1,77986,101249.75,2025-02-18T00:00:00Z,causal-ridge-shortlag-v2,True,91837.23426599141,91346.90443474076,86346.38946273971,86145.83631625044,79618.80840943649,78428.12054798445,73221.79837093536,73460.82222441868
2025-02-18 00:00:00+00:00,SPP_NORTH_HUB,40049,16541,245,23263,46366.75,2025-02-18T00:00:00Z,causal-ridge-shortlag-v2,True,41034.8853539366,41849.58159108255,40753.68463802007,38741.730933735,23657.278087385424,24012.203762629935,22774.575033971225,22437.596220518546
2025-02-18 01:00:00+00:00,CAISO_NP15,22080,4045,4871,13164,33983.0,2025-02-18T01:00:00Z,causal-ridge-shortlag-v2,True,23096.51743596345,25185.437801884847,24268.093161505305,20577.971410631857,18293.29939481001,22116.319778069028,21468.648658049093,15842.924945765322
2025-02-18 01:00:00+00:00,ISONE_NEMA,17195,846,5,16344,18007.25,2025-02-18T01:00:00Z,causal-ridge-shortlag-v2,True,16710.749929846188,15801.525614933997,14768.407492762763,14944.847730610147,15900.034477340228,15052.002719262231,14021.02556021367,13973.27152832452
2025-02-18 01:00:00+00:00,MISO_MINN_HUB,90181,12609,1,77571,101249.75,2025-02-18T01:00:00Z,causal-ridge-shortlag-v2,True,88825.84356682436,86334.06554453257,82372.15143788702,89980.63464103952,75654.59316681954,73745.48586536292,68890.95349118664,76145.956691092
2025-02-18 01:00:00+00:00,SPP_NORTH_HUB,40268,16903,245,23120,46366.75,2025-02-18T01:00:00Z,causal-ridge-shortlag-v2,True,40405.91863302225,40321.38487435559,39283.10101271944,39432.483884472036,23116.931040897623,23120.301209476274,22176.6643860812,24116.35899347454
2025-02-18 02:00:00+00:00,CAISO_NP15,24751,3911,534,20306,33983.0,2025-02-18T02:00:00Z,causal-ridge-shortlag-v2,True,26421.435203375688,27108.07019098438,22823.631644036846,21153.36297374688,23927.134412076797,25054.15826946203,19802.803067815435,17299.516146520193
2025-02-18 02:00:00+00:00,ISONE_NEMA,16510,834,4,15672,18007.25,2025-02-18T02:00:00Z,causal-ridge-shortlag-v2,True,15935.363868617318,15298.747251546913,15080.74895351854,14944.030051859008,15138.906573526268,14558.097530743038,14325.855745095445,13894.500292746034
2025-02-18 02:00:00+00:00,MISO_MINN_HUB,89258,13599,0,75659,101249.75,2025-02-18T02:00:00Z,causal-ridge-shortlag-v2,True,87853.96806949562,85502.02659708999,83680.62515417761,91090.98586726133,73693.62263574614,72602.44319542742,69278.12983949814,75017.7979086992
2025-02-18 02:00:00+00:00,SPP_NORTH_HUB,40125,16989,244,22892,46366.75,2025-02-18T02:00:00Z,causal-ridge-shortlag-v2,True,39968.077679477465,39588.1790668926,38841.988461206616,39997.09001598381,22768.15849518025,22166.98753961157,21579.06200879644,24893.56930993344
2025-02-18 03:00:00+00:00,CAISO_NP15,26191,3847,0,22344,33983.0,2025-02-18T03:00:00Z,causal-ridge-shortlag-v2,True,26878.127620952702,26142.349863754087,22014.609264141345,23161.00732182028,22827.780397664683,22948.855275494938,17832.710150448846,17613.68897817077
2025-02-18 03:00:00+00:00,ISONE_NEMA,15598,834,4,14760,18007.25,2025-02-18T03:00:00Z,causal-ridge-shortlag-v2,True,14891.401381479627,14419.145071477056,14890.123512575663,15270.381904017118,14065.166926304128,13635.245759543895,14094.30639160292,14187.407604431093
2025-02-18 03:00:00+00:00,MISO_MINN_HUB,87700,14528,0,73172,101249.75,2025-02-18T03:00:00Z,causal-ridge-shortlag-v2,True,85820.66966105238,83068.59854102363,82016.32324071588,89864.34075848633,71110.68045476537,68961.26932408809,67566.93139033203,71396.52024301737
2025-02-18 03:00:00+00:00,SPP_NORTH_HUB,39646,17003,243,22400,46366.75,2025-02-18T03:00:00Z,causal-ridge-shortlag-v2,True,39209.01471063658,38492.73315683343,37892.5007996396,39705.19431229787,22015.512837996754,21323.76189058011,21309.173616852968,25575.812735079046
2025-02-18 04:00:00+00:00,CAISO_NP15,25908,3998,0,21910,33983.0,2025-02-18T04:00:00Z,causal-ridge-shortlag-v2,True,25512.17660346102,23873.345223320604,20791.56807915368,24871.086556186616,22087.167020669112,20915.235235082,16710.83416578133,15215.129095304497
2025-02-18 04:00:00+00:00,ISONE_NEMA,14985,832,4,14149,18007.25,2025-02-18T04:00:00Z,causal-ridge-shortlag-v2,True,14648.939795121927,14585.591464375204,15267.855941399584,15699.97057493095,13832.586788335133,13809.793444969122,14440.153715153145,14600.65593190925
2025-02-18 04:00:00+00:00,MISO_MINN_HUB,85717,14802,0,70915,101249.75,2025-02-18T04:00:00Z,causal-ridge-shortlag-v2,True,83869.7553429304,81785.28434435904,81986.02304008552,89591.15498561473,69334.4474043989,67650.11746941521,66923.53546583657,70365.56727913945
2025-02-18 04:00:00+00:00,SPP_NORTH_HUB,38914,17406,243,21265,46366.75,2025-02-18T04:00:00Z,causal-ridge-shortlag-v2,True,38295.98915752755,37595.324062662774,37703.33806912536,40323.010349478485,20530.18359018725,19837.195291370197,20806.92729120178,26104.591509576287
