interaction_count,mean_raw_joint_reward,mean_raw_ramp_reward,mean_raw_peak_reward,mean_raw_ramp_squared,mean_raw_peak_increment,mean_raw_incremental_ramp_impact,episode_count,mean_completed_episode_return,elapsed_seconds
544768,2.182210761034632e-05,2.1794638456862528e-05,2.7469153483793448e-08,0.00865472274417165,0.0005813477536786538,-0.0002630202142789665,0,nan,2796.898146099993
546816,1.5213038227946257e-05,2.3129626705535413e-05,-7.916588477589155e-06,0.007945850653441177,0.006769067910880817,-0.00027913100666126844,4,0.011495931945601168,2811.7052578000003
548864,1.277455686945219e-05,2.052264251905267e-05,-7.748085649600484e-06,0.0072839206473099055,0.007073120082509148,-0.0002476696203800629,4,0.012169926793864246,2825.5712406999664
550912,2.2201957006183423e-05,2.253430026713008e-05,-3.323432609466553e-07,0.00884926487973282,0.0006183021242427133,-0.00027194653843963567,0,nan,2837.0535119000124
552960,1.2662190831471109e-05,2.1187266823836828e-05,-8.52507599236572e-06,0.007984212449385273,0.007134850221070446,-0.0002556903832573795,4,0.012024462388449755,2851.084941399982
555008,1.583470873938083e-05,2.3610930192584518e-05,-7.776221453203689e-06,0.008949209855917956,0.006916010324899009,-0.00028493943273575603,4,0.011588834535109352,2864.4382772999816
557056,1.234134874170327e-05,2.0668863138061654e-05,-8.327514396358383e-06,0.007138398677730482,0.006232309150927096,-0.00024943422769942115,4,0.011947713488725444,2879.0597621999914
559104,2.339723691983058e-05,2.2751287761837138e-05,6.459491579934397e-07,0.007676934721399571,0.0010542782537394924,-0.0002745651685888197,0,nan,2891.0494926999672
561152,1.151048131055726e-05,1.9476188963762174e-05,-7.96570765320491e-06,0.008075707113738322,0.007587448853070043,-0.0002350408980045914,4,0.012217643839515277,2904.987520899973
563200,1.4013883283180092e-05,2.1671172955604797e-05,-7.657289672424703e-06,0.009497560240475477,0.00610985183497313,-0.0002615302183489518,4,0.010857099051396812,2919.3375359000056
565248,2.0989938192127897e-05,2.1703179014537818e-05,-7.132408224099219e-07,0.0062037433107849866,0.0007064390761697776,-0.00026191647116500334,0,nan,2930.942103600013
567296,1.4998699154040632e-05,2.2731574345275498e-05,-7.732875191234862e-06,0.007765525239594246,0.00670362646335996,-0.000274327264800763,4,0.011456483935865236,2945.458757399989
569344,1.4530603484829056e-05,2.2454633991439858e-05,-7.924030506610803e-06,0.007705720619066535,0.0067354072537381925,-0.00027098511662278273,4,0.012189189472279026,2959.470777300012
571392,2.227380976790736e-05,2.4108644359424393e-05,-1.8348345915170306e-06,0.007516468858510585,0.0017889729329124053,-0.00029094590478946793,2,0.014879735725389778,2971.9077787999995
573440,1.6235223749986054e-05,2.2482392339749897e-05,-6.247168589763843e-06,0.0085830391271048,0.0060297369630858836,-0.0002713201075764059,2,0.012881452277239702,2984.882159699977
575488,1.4395039621005643e-05,2.2762932816246077e-05,-8.36789319524044e-06,0.008604648191457412,0.006763565516701766,-0.0002747057024504845,4,0.0116605268698662,2998.390835899976
577536,1.696544903991541e-05,2.4814096335964837e-05,-7.848647296049421e-06,0.00888074072664907,0.0072839353941416655,-0.0002994593807253243,4,0.013156441421887544,3011.73056679999
579584,2.4150712316644082e-05,2.40959352559461e-05,5.4777060697978595e-08,0.009698156059073258,0.0006081203823088994,-0.0002907925298607317,0,nan,3017.4069009000086
581632,1.2028877031958062e-05,2.0118052610458856e-05,-8.089175578500796e-06,0.008602658974905392,0.006700679024950257,-0.00024278698263114699,4,0.013652196095053085,3023.975200599991
583680,1.2172967789940524e-05,2.0529510513843845e-05,-8.35654272390332e-06,0.008317064167399888,0.00770942819556023,-0.000247752504134488,4,0.010166575615594413,3030.620720600011
585728,2.2705714891982052e-05,2.4895791615886237e-05,-2.1900767239041848e-06,0.008796207444663074,0.0018776291543463881,-0.0003004452887995984,1,0.010257201884177945,3036.2742081999895
587776,1.521437983670894e-05,2.1175748127214407e-05,-5.961368290505468e-06,0.007277955460723983,0.005528615960243053,-0.00025555137429607744,3,0.013578830463410622,3042.513790600002
589824,1.169250703673521e-05,1.9501062975775946e-05,-7.808555939040736e-06,0.0074599610652358525,0.006688570077239839,-0.00023534108045463703,4,0.011028727663640027,3049.070433899993
591872,1.7181437974071334e-05,2.3196553203419698e-05,-6.0151152293483595e-06,0.007720006522333489,0.004964855747143175,-0.000279938683368056,3,0.012076305064711433,3055.3154065000126
593920,2.1189896895504585e-05,2.38055085017806e-05,-2.6156116062760137e-06,0.008715175218234025,0.0028974114990354713,-0.00028728762624582896,1,0.012768337095777444,3060.8864235999645
595968,1.532516794099702e-05,2.336529254328379e-05,-8.040124602286774e-06,0.007574111691735928,0.006704825867827637,-0.0002819750492117102,4,0.012777733775333047,3067.1810511999647
598016,1.4183416773690862e-05,2.156052352244161e-05,-7.3771067487507486e-06,0.007383232541448781,0.006660330149920819,-0.00026019488820901713,4,0.012255156107522192,3073.498022600019
600064,2.2597177781080555e-05,2.3461122575794076e-05,-8.63944794713523e-07,0.007376414796233065,0.0005561285017848256,-0.0002831315371128563,0,nan,3078.5684902999783
602112,1.376847050574531e-05,2.2135655699402574e-05,-8.367185193657264e-06,0.007846791283821113,0.007209970539264854,-0.0002671356497510087,4,0.012414008947364979,3084.909870099975
604160,1.4286093026508416e-05,2.2460186092955897e-05,-8.174093066447484e-06,0.008356415610744815,0.006798483246853529,-0.0002710521200251717,4,0.011822914537936253,3091.4400333999656
606208,2.2780464287329996e-05,2.2736786039798735e-05,4.367824753126204e-08,0.008405652871388685,0.0006218162425761116,-0.0002743901601322443,0,nan,3096.6077405000106
608256,1.655862500979188e-05,2.4312558741767088e-05,-7.753933731975204e-06,0.00712236455076413,0.005930854829514634,-0.00029340676710863385,4,0.012326196686208336,3102.989542700001
610304,1.3113228432343345e-05,2.1757249326668607e-05,-8.644020894325264e-06,0.0070855508464147485,0.006586089404054031,-0.0002625689979371688,4,0.012951419679040977,3109.185276700009
612352,1.7334073702442644e-05,2.514754659208797e-05,-7.813472889645324e-06,0.008106329948949283,0.006063791621872524,-0.00030348349693126513,4,0.013096702769735253,3115.517400200013
614400,2.1064974132917875e-05,2.122578708509465e-05,-1.608129521767741e-07,0.0065842781188554435,0.0009316341131895182,-0.0002561552502195072,0,nan,3120.88783349999
616448,1.1444346857075279e-05,1.9499978496311877e-05,-8.055631639236598e-06,0.008398207511726371,0.0077904937427438785,-0.00023532799283120225,4,0.010981667400006292,3127.464868900017
618496,1.0495350041926236e-05,1.894180874575528e-05,-8.446458703829044e-06,0.008936713852837041,0.007401763890890289,-0.0002285919358102973,4,0.010212031033822401,3133.8772461999906
620544,2.5059000172144578e-05,2.4732323128155695e-05,3.2667704398888463e-07,0.008735910342080428,0.000664886551600579,-0.0002984725322082998,0,nan,3139.143720299995
622592,1.593212114022798e-05,2.3866138027726674e-05,-7.934016887498694e-06,0.008683119684638581,0.006941300700794189,-0.0002880193103679369,4,0.013102208150699946,3145.4222452999675
624640,1.6336254194711186e-05,2.5098322584856175e-05,-8.76206839014499e-06,0.008080845021540998,0.006661437178175566,-0.00030288945592639135,4,0.013827684862007441,3151.6150249000057
626688,2.1754556566897047e-05,2.3654786466783287e-05,-1.9002298998862402e-06,0.007581963059865655,0.001898164596884419,-0.0002854686953183892,2,0.01316082333354545,3157.4280205999967
628736,1.774754160255651e-05,2.376819222740936e-05,-6.020650624852852e-06,0.008187734621530877,0.005326138103813292,-0.00028683728913651455,2,0.013131754145879162,3163.1479117000126
630784,1.3410222909308005e-05,2.1376153863409897e-05,-7.965930954101893e-06,0.007670692685726337,0.006966678730975628,-0.00025796989386827403,4,0.012806696205707464,3169.348234199977
632832,1.4480014851347398e-05,2.2086150851758184e-05,-7.6061360004107865e-06,0.008120833511935854,0.0073769876568588995,-0.0002665382195315973,4,0.01205860170346079,3175.666224899993
634880,2.0765630126086514e-05,2.0982423216156568e-05,-2.1679309007005742e-07,0.008545640311627878,0.0007661838653900574,-0.00025321830693951,0,nan,3180.780603399966
636928,1.5002348552555458e-05,2.3649003172775048e-05,-8.646654620219585e-06,0.008275794667218662,0.006212710744185048,-0.00028539890185830057,4,0.011433350129958133,3186.9563094999758
638976,1.6900888116738677e-05,2.4446203551084743e-05,-7.545315434346066e-06,0.007201487721825226,0.006173397781898304,-0.00029501960810407305,4,0.013772690964036646,3193.2673382000066
641024,2.084305105782422e-05,2.1859200742833094e-05,-1.016149685008875e-06,0.007184879166475249,0.0008003921546381133,-0.00026379935940330204,0,nan,3198.60251669999
643072,1.3646184318987666e-05,2.2304217158507212e-05,-8.658032839519545e-06,0.007766593111132333,0.007216405497144311,-0.00026916986890911164,4,0.011180274917278452,3205.0358082000166
645120,1.429561416891893e-05,2.2342358097798634e-05,-8.046743928879704e-06,0.008469089660062046,0.007395130520227781,-0.0002696301581699354,4,0.011480292115794315,3211.599974600016
