collection_id,submit_time,end_time,duration_sec,scheduling_class,priority,job_type,terminal_type,num_tasks,avg_cpu_request,avg_mem_request,total_cpu_request,total_mem_request
64616812039,0,,,3,200,service,,100,0.008534958157587381,0.0034079636648401165,11.018630981445312,4.399681091308594
770544940445,0,,,3,100,service,,5,0.0,0.00087738037109375,0.0,0.010528564453125
774354153918,0,3018366130,3018.36613,3,200,service,6,3,0.004289944966634114,0.001941998799641927,0.012869834899902344,0.005825996398925781
400058189706,0,,,2,200,service,,1,0.01973876953125,0.01171875,0.09869384765625,0.05859375
727227078440,0,1765175320878,1765175.320878,1,115,batch,5,1,0.0012149810791015625,0.001117706298828125,0.0060749053955078125,0.005588531494140625
152427262496,0,,,2,200,service,,3,0.0015134811401367185,0.0009257133970869349,0.07113361358642578,0.04350852966308594
102613794814,0,,,3,450,service,,1,0.0,0.0096588134765625,0.0,0.0096588134765625
171458770386,0,,,3,200,service,,3,0.01189594268798828,0.0105743408203125,0.11895942687988281,0.105743408203125
751484695487,0,,,1,115,batch,,1,0.016204833984375,0.05206298828125,0.048614501953125,0.15618896484375
55654909863,0,,,3,200,service,,2,0.004618558016690341,0.002681732177734375,0.1016082763671875,0.05899810791015625
522575817577,0,,,3,119,service,,1,0.00566864013671875,0.0013027191162109375,0.6915740966796875,0.15893173217773438
671831028723,0,,,0,103,batch,,375,0.0007472525489589874,0.004285662218154572,0.4461097717285156,2.5585403442382812
774086807044,0,143467567013,143467.567013,3,25,service,6,3,0.0008144378662109375,0.00032520294189453125,0.03664970397949219,0.014634132385253906
774805271303,0,32977250420,32977.25042,3,119,service,6,1,0.00566864013671875,0.00217437744140625,0.00566864013671875,0.00217437744140625
769669064746,0,,,1,115,batch,,1,0.0012149810791015625,0.0029754638671875,0.0012149810791015625,0.0029754638671875
389526389765,0,,,2,25,service,,3,0.0006116061830825639,0.0005153958985546249,0.5736865997314453,0.4834413528442383
195293421791,0,,,2,360,service,,1,0.003345489501953125,0.0009553091866629464,0.023418426513671875,0.006687164306640625
14271275984,0,,,3,200,service,,3,0.0,0.0052947998046875,0.0,0.0476531982421875
56591038254,0,,,3,200,service,,2,0.007044792175292969,0.0028839111328125,0.05635833740234375,0.0230712890625
